id;name;guid;bank_number;agency_number;last_operation_duration;mean_operation_duration;mean_queue_duration;balance;opening_day;last_operation_date;active;account_type;attachment;attachment_content_type;description
1;aftermath buzzing;7e31f682-db75-44f4-9612-e167dd2a9f41;24386;28874;15066.32;20469.12;18753;26338.15;2020-08-04;2020-08-03T18:43:08;true;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
2;even coexist;90795469-0fdd-4c4b-a92c-e114472aa07e;18225;22381;31306.96;10142.92;3309;6690.22;2020-08-04;2020-08-03T23:54:28;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
3;down;20ebeb03-e762-491b-ba43-a05ba6442823;25389;27735;25389.62;3289.15;1610;31126.96;2020-08-03;2020-08-03T23:57:45;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
4;outnumber;3a8ba352-bb02-488e-b91a-d67ccca3513f;18793;6768;11235.42;27176.97;32132;1545.68;2020-08-03;2020-08-03T22:10:17;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
5;oof;7eb046bb-fa5d-4c9d-b470-9b2fc8882ba9;11491;9159;16303.11;22937.18;24241;2640.7;2020-08-03;2020-08-04T16:19:42;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
6;anneal;a6553c43-a8fa-4e28-9e86-094be965c15d;30158;12481;29442.08;6966.16;7225;12401.78;2020-08-04;2020-08-04T03:01:51;true;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
7;underneath where;d99a67b4-ffd7-42e4-91aa-0e8d846abed4;23794;26114;12759.12;30687.6;22170;381.86;2020-08-03;2020-08-04T01:07:37;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
8;so since;6bcc6dac-08e9-4f8a-b4b8-e257fc3709cf;6422;2741;16732.58;12669.46;20916;7401.36;2020-08-04;2020-08-04T11:33:37;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
9;personal;b78f5372-2143-4e05-9663-0f7bf24d7120;12321;8147;3652.92;25834.1;29795;25904.71;2020-08-04;2020-08-04T15:49:49;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
10;finally quickly however;f6dd3614-01b1-4554-b053-7dc6044d7831;13505;8269;24976.35;12293.69;31157;10912.84;2020-08-03;2020-08-04T11:07:23;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
11;lady while;eb6bc34a-c6a2-4716-b229-ffe3d64cbd02;19070;23216;23266.15;2876.72;18022;3564.65;2020-08-04;2020-08-04T06:03:15;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
12;daily down;9576d666-2b67-4f26-a170-0e47786e09db;19197;19500;27180.7;24609.11;12477;786.56;2020-08-04;2020-08-03T17:22:11;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
13;authentic;4f6c1a28-e724-4a05-bca3-1a7e2bddcad0;5785;2900;8758.52;27499.11;24095;2458.94;2020-08-03;2020-08-04T04:57:32;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
14;before;fc6e9d80-9c7f-4d60-9453-b65aaceee4d4;9871;9874;11241.54;9553.52;17416;20856.08;2020-08-04;2020-08-04T12:46:03;true;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
15;finally;0c8349e3-a468-443c-b2f2-1f6e431f3e9e;208;22241;8583.67;13988.62;26765;3676.44;2020-08-04;2020-08-03T23:08:01;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
16;lest hmph nervously;548a3c8f-5d74-40a6-b878-6a12f404ca51;3347;3972;7657.24;18738.43;16263;8817.33;2020-08-04;2020-08-03T20:55:26;true;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
17;teriyaki sign;71f40d41-582e-46a2-8832-6e81f17e8b8a;31065;10470;26716.51;16315.39;21608;21350.38;2020-08-04;2020-08-04T02:18:17;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
18;anneal physical;541b87b2-4a9f-48d9-b385-aeba801768ab;3014;1383;10690.49;9163.5;9378;937.34;2020-08-03;2020-08-03T19:24:46;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
19;consequently;3c62716f-ecc9-4a8c-b0f0-3fcb114e43b3;23672;16582;6307.9;5906.9;600;32171.59;2020-08-04;2020-08-03T18:05:28;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
20;comb;cab80c11-54cb-4117-8afd-19b539961b32;8307;23414;14922.98;2476.54;26410;27185.26;2020-08-04;2020-08-04T02:51:57;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
21;stack;3a854ac1-6268-4fdb-8d88-aced86be0080;21312;4547;27451.5;10266.26;24048;10940.96;2020-08-04;2020-08-04T14:04:49;false;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
22;acceptable;d1695393-cc88-4c23-8b79-c83142375b70;30575;9513;21033.35;8505.63;26532;4444.83;2020-08-03;2020-08-04T06:07:31;true;LOAN;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
23;pants ick;636a4f57-832b-4bc5-b3b3-75bafaf31dbb;20773;1041;11446.4;26335.65;22229;14418.18;2020-08-03;2020-08-04T00:47:16;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
24;calculating whoa analyse;d0a5b335-3361-41ea-ba27-de0691b0481a;26285;10336;28981.25;21241.52;30486;3332.92;2020-08-04;2020-08-04T13:27:01;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
25;upon;3b3daae2-4aa4-476e-bc79-d033964143dc;189;30942;23382.74;17863.16;15515;11474.62;2020-08-03;2020-08-03T22:21:15;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
26;whenever headline;d55bbb23-da83-4d19-9ada-eb66ca5acfb1;18908;27155;2943.37;15669.57;8873;31991.7;2020-08-04;2020-08-04T14:55:56;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
27;as;eb8011a9-031c-49ec-bc52-9501b0eb0b7e;10711;4073;24158.9;11687.99;2817;1999.35;2020-08-03;2020-08-04T05:37:56;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
28;what decide;0df34619-7365-4379-b6f8-6351c145aeac;28539;28295;8243.43;21678.05;6468;15145.65;2020-08-04;2020-08-04T15:00:58;true;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
29;forsaken while;f34a363e-4726-41eb-8551-92d46e08b952;32540;21372;30095.24;16870.63;13828;7917.56;2020-08-04;2020-08-03T16:57:16;false;SAVINGS;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
30;metabolise fortunately;b97034f8-2923-4829-95db-6f028b8f2605;26386;5036;24214.38;573.92;4648;30742.86;2020-08-04;2020-08-04T09:01:12;false;CHECKING;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt
